#Source,TTI (s) tot,ID1,CL1,ID2,CL2,bolus,correct1,correct2
Cs137,213,Cs137,93,,,0,1,1
Cs137,210,Cs137,95,Lu177,41,0,1,0
Cs137,221,Cs137,93,Pb214,44,0,1,0
Cs137,214,Cs137,97,,,0,1,1
Cs137,190,Cs137,83,Pb214,56,3,1,0
Cs137,189,Cs137,91,I123,40,3,1,0
Cs137,183,Cs137,92,Se75,41,3,1,0
Cs137,185,Cs137,90,Cr51,46,3,1,0
Ba133,90,Ba133,87,I131,48,0,1,0
Ba133,100,Ba133,86,I123,53,0,1,0
Ba133,93,Ba133,92,I123,59,0,1,0
Ba133,92,Ba133,96,,,0,1,1
Ba133,94,Ba133,78,Tl201,51,3,1,0
Ba133,106,Ba133,69,Pb214,64,3,1,0
Ba133,99,Ba133,81,Pb214,46,3,1,0
Ba133,97,Ba133,81,I123,52,3,1,0
Ba133,94,Ba133,80,I123,45,3,1,0
Ba133,100,Ba133,88,,,3,1,1
Co60,350,Co60,83,Nb95,42,0,1,0
Co60,349,Co60,67,Cs137,44,0,1,0
Co60,351,Co60,83,U-shield,49,0,1,0
Co60,350,Co60,77,Mn54,49,0,1,0
Co60,295,Co60,61,La140,46,3,1,0
Co60,289,Co60,62,U-shield,56,3,1,0
Co60,294,Co60,62,In111,53,3,1,0
Co60,290,Co60,56,Cr51,56,3,1,0
Co60,313,Co60,68,Y88,54,0,1,0
Co60,302,Co60,71,Te132,54,0,1,0
Co60,311,Co60,78,Ir192,41,0,1,0
Co60,306,Co60,81,Y88,42,0,1,0
Co60,320,Nb95,56,Na22,55,3,0,0
Co60,263,Co60,74,Xe133,50,3,1,0
Co60,252,Co60,67,Nb95,48,3,1,0
Co60,252,Co60,57,Lu177,53,3,1,0
Co60,252,Co60,73,Te132,54,3,1,0
Co60,259,Co60,69,In111,53,3,1,0
I125,191,I125,75,Th232,51,0.5,1,0
I125,200,I125,69,Nd147,55,0.5,1,0
I125,191,I125,70,Y88,58,0.5,1,0
I125,148,I125,72,Fe59,51,0,1,0
I125,151,I125,70,Co60,63,0,1,0
I125,152,I125,67,Be7,53,0,1,0
I125,151,I125,68,Fe59,58,0,1,0
I125,151,I125,71,Lu176,47,0,1,0
I125,156,I125,77,I131,51,0,1,0
I125,253,I125,73,Nd147,48,1,1,0
I125,330,Np237,64,I125,56,2,0,1
I125,260,I125,69,I123,47,1.5,1,0
I125,269,I125,76,Xe133,48,1.5,1,0
I125,255,I125,69,Np237,45,1,1,0
I125,426,I125,60,Ga67,45,3,1,0
I125,362,I125,58,Pu239,54,2.5,1,0
I125,362,I125,65,Y88,62,2.5,1,0
I125,373,I125,67,Fe59,49,2.5,1,0
Ba133 Cs137,69,Cs137,81,Ba133,63,0,1,1
Ba133 Cs137,68,Ba133,67,Pb214,65,0,1,0
Ba133 Cs137,65,Ba133,65,Cs137,58,0,1,1
Ba133 Cs137,65,Ba133,77,Cs137,73,0,1,1
Ba133 Cs137,66,Ba133,75,Cs137,64,0,1,1
Ba133 Cs137,66,Ba133,78,Cs137,62,0,1,1
Ba133 Cs137,66,Ba133,79,Cs137,64,0,1,1
Ba133 Cs137,68,Ba133,75,Cs137,56,0,1,1
Ba133 Cs137,67,Cs137,69,Ba133,68,0,1,1
Ba133 Cs137,67,Cs137,74,Ba133,57,0,1,1
Ba133 Cs137,67,Ba133,73,Cs137,72,3,1,1
Ba133 Cs137,69,Cs137,73,Ba133,70,3,1,1
Ba133 Cs137,69,Cs137,74,Ba133,65,3,1,1
Ba133 Cs137,71,Cs137,67,Pb214,63,3,1,0
Ba133 Cs137,68,Ba133,70,Cs137,55,3,1,1
Ba133 Cs137,70,Ba133,76,Cs137,60,3,1,1
Ba133 Cs137,69,Cs137,59,Pb214,59,3,1,0
Ba133 Cs137,69,Cs137,67,I131,54,3,1,0
Ba133 Cs137,66,Ba133,73,Cs137,72,3,1,1
Ba133 Cs137,69,Cs137,77,Ba133,67,3,1,1
Ba133 Co60,71,Ba133,79,Ru103,43,0,1,0
Ba133 Co60,77,Ba133,79,Ra226,49,0,1,0
Ba133 Co60,77,Co60,68,Pb214,66,0,1,0
Ba133 Co60,75,Ba133,80,Lu177,46,0,1,0
Ba133 Co60,72,Ba133,78,I123,60,0,1,0
Ba133 Co60,75,Ba133,80,Pb214,45,0,1,0
Ba133 Co60,76,Ba133,87,Eu152,41,0,1,0
Ba133 Co60,77,Ba133,74,Te132,46,0,1,0
Ba133 Co60,72,Ba133,71,Pb214,51,0,1,0
Ba133 Co60,71,Ba133,80,Co60,47,0,1,1
Ba133 Co60,80,Ba133,63,Ra226,54,3,1,0
Ba133 Co60,79,Ra226,60,Xe133,43,3,0,0
Ba133 Co60,77,Ba133,73,Co60,60,3,1,1
Ba133 Co60,78,Ba133,66,I131,45,3,1,0
Ba133 Co60,80,Co60,62,Sm153,45,3,1,0
Ba133 Co60,80,Ba133,59,Te132,54,3,1,0
Ba133 Co60,77,Pb214,53,Co60,50,3,0,1
Ba133 Co60,80,Ba133,73,I123,60,3,1,0
Ba133 Co60,80,Ba133,72,Co60,58,3,1,1
Ba133 Co60,79,Ba133,67,I123,62,3,1,0
Co60 I125,112,Co60,74,Zn65,60,0,1,0
Co60 I125,103,Se75,53,Nb95,46,0,0,0
Co60 I125,101,Co60,73,Te132,52,0,1,0
Co60 I125,100,Co60,67,Mn54,41,0,1,0
Co60 I125,103,Y88,58,Co60,58,0,0,1
Cs137 I125,89,Cs137,89,U-enrich,45,0,1,0
Cs137 I125,98,Cs137,70,U235,52,0,1,0
Cs137 I125,94,Cs137,88,Pu239,42,0,1,0
Cs137 I125,93,Cs137,94,Lu177,45,0,1,0
Cs137 I125,94,Cs137,92,Cr51,42,0,1,0
Ba133 I125,62,Ba133,80,Pb214,54,0,1,0
Ba133 I125,62,Ba133,88,I123,47,0,1,0
Ba133 I125,61,Ba133,86,Eu152,42,0,1,0
Ba133 I125,62,Ba133,84,Pb214,40,0,1,0
Ba133 I125,62,Ba133,84,Pb214,42,0,1,0
Co60 Cs137,112,Cs137,85,,,0,1,1
Co60 Cs137,115,Cs137,83,Eu152,41,0,1,0
Co60 Cs137,122,Cs137,81,Co60,60,0,1,1
Co60 Cs137,119,Cs137,79,Co60,53,0,1,1
Co60 Cs137,110,Cs137,83,Te132,46,0,1,0
Co60 Cs137,110,Cs137,67,Co60,54,3,1,1
Co60 Cs137,113,Cs137,55,I123,42,3,1,0
Co60 Cs137,116,Cs137,70,Sb125,63,3,1,0
Co60 Cs137,114,Cs137,75,Co60,54,3,1,1
Co60 Cs137,115,Cs137,46,Co60,40,3,1,1
