#Source,TTI (s) tot,ID,CL,bolus,num,correct
Cs137,213,Cs137,93,0,0,1
Cs137,213,,,0,1,0
Cs137,210,Cs137,95,0,0,1
Cs137,210,Lu177,41,0,1,0
Cs137,221,Cs137,93,0,0,1
Cs137,221,Pb214,44,0,1,0
Cs137,214,Cs137,97,0,0,1
Cs137,214,,,0,1,0
Cs137,190,Cs137,83,3,0,1
Cs137,190,Pb214,56,3,1,0
Cs137,189,Cs137,91,3,0,1
Cs137,189,I123,40,3,1,0
Cs137,183,Cs137,92,3,0,1
Cs137,183,Se75,41,3,1,0
Cs137,185,Cs137,90,3,0,1
Cs137,185,Cr51,46,3,1,0
Ba133,90,Ba133,87,0,0,1
Ba133,90,I131,48,0,1,0
Ba133,100,Ba133,86,0,0,1
Ba133,100,I123,53,0,1,0
Ba133,93,Ba133,92,0,0,1
Ba133,93,I123,59,0,1,0
Ba133,92,Ba133,96,0,0,1
Ba133,92,,,0,1,0
Ba133,94,Ba133,78,3,0,1
Ba133,94,Tl201,51,3,1,0
Ba133,106,Ba133,69,3,0,1
Ba133,106,Pb214,64,3,1,0
Ba133,99,Ba133,81,3,0,1
Ba133,99,Pb214,46,3,1,0
Ba133,97,Ba133,81,3,0,1
Ba133,97,I123,52,3,1,0
Ba133,94,Ba133,80,3,0,1
Ba133,94,I123,45,3,1,0
Ba133,100,Ba133,88,3,0,1
Ba133,100,,,3,1,0
Co60,350,Co60,83,0,0,1
Co60,350,Nb95,42,0,1,0
Co60,349,Co60,67,0,0,1
Co60,349,Cs137,44,0,1,0
Co60,351,Co60,83,0,0,1
Co60,351,U-shield,49,0,1,0
Co60,350,Co60,77,0,0,1
Co60,350,Mn54,49,0,1,0
Co60,295,Co60,61,3,0,1
Co60,295,La140,46,3,1,0
Co60,289,Co60,62,3,0,1
Co60,289,U-shield,56,3,1,0
Co60,294,Co60,62,3,0,1
Co60,294,In111,53,3,1,0
Co60,290,Co60,56,3,0,1
Co60,290,Cr51,56,3,1,0
Co60,313,Co60,68,0,0,1
Co60,313,Y88,54,0,1,0
Co60,302,Co60,71,0,0,1
Co60,302,Te132,54,0,1,0
Co60,311,Co60,78,0,0,1
Co60,311,Ir192,41,0,1,0
Co60,306,Co60,81,0,0,1
Co60,306,Y88,42,0,1,0
Co60,320,Nb95,56,3,0,0
Co60,320,Na22,55,3,1,0
Co60,263,Co60,74,3,0,1
Co60,263,Xe133,50,3,1,0
Co60,252,Co60,67,3,0,1
Co60,252,Nb95,48,3,1,0
Co60,252,Co60,57,3,0,1
Co60,252,Lu177,53,3,1,0
Co60,252,Co60,73,3,0,1
Co60,252,Te132,54,3,1,0
Co60,259,Co60,69,3,0,1
Co60,259,In111,53,3,1,0
I125,191,I125,75,0.5,0,1
I125,191,Th232,51,0.5,1,0
I125,200,I125,69,0.5,0,1
I125,200,Nd147,55,0.5,1,0
I125,191,I125,70,0.5,0,1
I125,191,Y88,58,0.5,1,0
I125,148,I125,72,0,0,1
I125,148,Fe59,51,0,1,0
I125,151,I125,70,0,0,1
I125,151,Co60,63,0,1,0
I125,152,I125,67,0,0,1
I125,152,Be7,53,0,1,0
I125,151,I125,68,0,0,1
I125,151,Fe59,58,0,1,0
I125,151,I125,71,0,0,1
I125,151,Lu176,47,0,1,0
I125,156,I125,77,0,0,1
I125,156,I131,51,0,1,0
I125,253,I125,73,1,0,1
I125,253,Nd147,48,1,1,0
,330,Np237,64,2,0,0
I125,330,I125,56,2,1,1
I125,260,I125,69,1.5,0,1
I125,260,I123,47,1.5,1,0
I125,269,I125,76,1.5,0,1
I125,269,Xe133,48,1.5,1,0
I125,255,I125,69,1,0,1
I125,255,Np237,45,1,1,0
I125,426,I125,60,3,0,1
I125,426,Ga67,45,3,1,0
I125,362,I125,58,2.5,0,1
I125,362,Pu239,54,2.5,1,0
I125,362,I125,65,2.5,0,1
I125,362,Y88,62,2.5,1,0
I125,373,I125,67,2.5,0,1
I125,373,Fe59,49,2.5,1,0
Cs137,69,Cs137,81,0,0,1
Ba133,69,Ba133,63,0,1,1
Ba133,68,Ba133,67,0,0,1
Cs137,68,Pb214,65,0,1,0
Ba133,65,Ba133,65,0,0,1
Cs137,65,Cs137,58,0,1,1
Ba133,65,Ba133,77,0,0,1
Cs137,65,Cs137,73,0,1,1
Ba133,66,Ba133,75,0,0,1
Cs137,66,Cs137,64,0,1,1
Ba133,66,Ba133,78,0,0,1
Cs137,66,Cs137,62,0,1,1
Ba133,66,Ba133,79,0,0,1
Cs137,66,Cs137,64,0,1,1
Ba133,68,Ba133,75,0,0,1
Cs137,68,Cs137,56,0,1,1
Cs137,67,Cs137,69,0,0,1
Ba133,67,Ba133,68,0,1,1
Cs137,67,Cs137,74,0,0,1
Ba133,67,Ba133,57,0,1,1
Ba133,67,Ba133,73,3,0,1
Cs137,67,Cs137,72,3,1,1
Cs137,69,Cs137,73,3,0,1
Ba133,69,Ba133,70,3,1,1
Cs137,69,Cs137,74,3,0,1
Ba133,69,Ba133,65,3,1,1
Ba133,71,Cs137,67,3,0,0
Cs137,71,Pb214,63,3,1,0
Ba133,68,Ba133,70,3,0,1
Cs137,68,Cs137,55,3,1,1
Ba133,70,Ba133,76,3,0,1
Cs137,70,Cs137,60,3,1,1
Ba133,69,Cs137,59,3,0,0
Cs137,69,Pb214,59,3,1,0
Ba133,69,Cs137,67,3,0,0
Cs137,69,I131,54,3,1,0
Ba133,66,Ba133,73,3,0,1
Cs137,66,Cs137,72,3,1,1
Cs137,69,Cs137,77,3,0,1
Ba133,69,Ba133,67,3,1,1
Ba133,71,Ba133,79,0,0,1
Co60,71,Ru103,43,0,1,0
Ba133,77,Ba133,79,0,0,1
Co60,77,Ra226,49,0,1,0
Ba133,77,Co60,68,0,0,0
Co60,77,Pb214,66,0,1,0
Ba133,75,Ba133,80,0,0,1
Co60,75,Lu177,46,0,1,0
Ba133,72,Ba133,78,0,0,1
Co60,72,I123,60,0,1,0
Ba133,75,Ba133,80,0,0,1
Co60,75,Pb214,45,0,1,0
Ba133,76,Ba133,87,0,0,1
Co60,76,Eu152,41,0,1,0
Ba133,77,Ba133,74,0,0,1
Co60,77,Te132,46,0,1,0
Ba133,72,Ba133,71,0,0,1
Co60,72,Pb214,51,0,1,0
Ba133,71,Ba133,80,0,0,1
Co60,71,Co60,47,0,1,1
Ba133,80,Ba133,63,3,0,1
Co60,80,Ra226,54,3,1,0
Ba133,79,Ra226,60,3,0,0
Co60,79,Xe133,43,3,1,0
Ba133,77,Ba133,73,3,0,1
Co60,77,Co60,60,3,1,1
Ba133,78,Ba133,66,3,0,1
Co60,78,I131,45,3,1,0
Ba133,80,Co60,62,3,0,0
Co60,80,Sm153,45,3,1,0
Ba133,80,Ba133,59,3,0,1
Co60,80,Te132,54,3,1,0
Ba133,77,Pb214,53,3,0,0
Co60,77,Co60,50,3,1,1
Ba133,80,Ba133,73,3,0,1
Co60,80,I123,60,3,1,0
Ba133,80,Ba133,72,3,0,1
Co60,80,Co60,58,3,1,1
Ba133,79,Ba133,67,3,0,1
Co60,79,I123,62,3,1,0
Co60,112,Co60,74,0,0,1
I125,112,Zn65,60,0,1,0
Co60,103,Se75,53,0,0,0
I125,103,Nb95,46,0,1,0
Co60,101,Co60,73,0,0,1
I125,101,Te132,52,0,1,0
Co60,100,Co60,67,0,0,1
I125,100,Mn54,41,0,1,0
I125,103,Y88,58,0,0,0
Co60,103,Co60,58,0,1,1
Cs137,89,Cs137,89,0,0,1
I125,89,U-enrich,45,0,1,0
Cs137,98,Cs137,70,0,0,1
I125,98,U235,52,0,1,0
Cs137,94,Cs137,88,0,0,1
I125,94,Pu239,42,0,1,0
Cs137,93,Cs137,94,0,0,1
I125,93,Lu177,45,0,1,0
Cs137,94,Cs137,92,0,0,1
I125,94,Cr51,42,0,1,0
Ba133,62,Ba133,80,0,0,1
I125,62,Pb214,54,0,1,0
Ba133,62,Ba133,88,0,0,1
I125,62,I123,47,0,1,0
Ba133,61,Ba133,86,0,0,1
I125,61,Eu152,42,0,1,0
Ba133,62,Ba133,84,0,0,1
I125,62,Pb214,40,0,1,0
Ba133,62,Ba133,84,0,0,1
I125,62,Pb214,42,0,1,0
Co60,112,Cs137,85,0,0,0
Cs137,112,,,0,1,0
Co60,115,Cs137,83,0,0,0
Cs137,115,Eu152,41,0,1,0
Cs137,122,Cs137,81,0,0,1
Co60,122,Co60,60,0,1,1
Cs137,119,Cs137,79,0,0,1
Co60,119,Co60,53,0,1,1
Co60,110,Cs137,83,0,0,0
Cs137,110,Te132,46,0,1,0
Cs137,110,Cs137,67,3,0,1
Co60,110,Co60,54,3,1,1
Co60,113,Cs137,55,3,0,0
Cs137,113,I123,42,3,1,0
Co60,116,Cs137,70,3,0,0
Cs137,116,Sb125,63,3,1,0
Cs137,114,Cs137,75,3,0,1
Co60,114,Co60,54,3,1,1
Cs137,115,Cs137,46,3,0,1
Co60,115,Co60,40,3,1,1
